movie_name,director,year,jump_count,jump_scare_rating,netflix_us,imdb,url
10 Cloverfield Lane,Dan Trachtenberg,2016,8,2.5,No,7.3,https://wheresthejump.com/jump-scares-in-10-cloverfield-lane-2016/
28 Days Later,Danny Boyle,2003,10,3,No,7.6,https://wheresthejump.com/jump-scares-in-28-days-later-2002/
28 Weeks Later,Juan Carlos Fresnadillo,2007,17,3.5,No,7,https://wheresthejump.com/jump-scares-in-28-weeks-later-2007/
30 Days of Night,David Slade,2007,9,2.5,No,6.6,https://wheresthejump.com/jump-scares-in-30-days-of-night-2007/
31,Rob Zombie,2016,8,2.5,No,5.8,https://wheresthejump.com/jump-scares-in-31-2016/
47 Meters Down,Johannes Roberts,2017,11,3,Yes,5.7,https://wheresthejump.com/jump-scares-in-47-meters-down-2017/
1408,Mikael Håfström,2007,8,3,No,6.8,https://wheresthejump.com/jump-scares-in-1408-2007/
1922,Zak Hilditch,2017,2,1,Yes,6.5,https://wheresthejump.com/jump-scares-in-1922-2017/
A Cure for Wellness,Gore Verbinski,2016,6,1.5,No,6.5,https://wheresthejump.com/jump-scares-in-a-cure-for-wellness-2016/
A Ghost Story,David Lowery,2017,3,1,No,7,https://wheresthejump.com/jump-scares-in-a-ghost-story-2017/
A Girl Walks Home Alone at Night,Ana Lily Amirpour,2014,0,0,No,7.1,https://wheresthejump.com/jump-scares-in-a-girl-walks-home-alone-at-night-2014/
A Nightmare on Elm Street,Wes Craven,1984,11,2.5,No,7.5,https://wheresthejump.com/jump-scares-in-a-nightmare-on-elm-street-1984/
A Nightmare on Elm Street,Samuel Bayer,2010,15,3,No,5.2,https://wheresthejump.com/jump-scares-in-a-nightmare-on-elm-street-2010/
A Nightmare on Elm Street 2: Freddy's Revenge,Jack Sholder,1985,8,2,No,5.3,https://wheresthejump.com/jump-scares-in-a-nightmare-on-elm-street-ii-freddys-revenge-1985/
A Nightmare on Elm Street 3: Dream Warriors,Chuck Russell,1987,11,2.5,No,6.5,https://wheresthejump.com/jump-scares-in-a-nightmare-on-elm-street-iii-dream-warriors-1987/
A Quiet Place,John Krasinski,2018,14,4,No,7.8,https://wheresthejump.com/jump-scares-in-a-quiet-place-2018/
A Tale of Two Sisters,Jee-woon Kim,2003,14,3,No,7.3,https://wheresthejump.com/jump-scares-in-a-tale-of-two-sisters-2003/
Absentia,Mike Flanagan,2011,8,2,No,5.8,https://wheresthejump.com/jump-scares-in-absentia-2011/
Alien,Ridley Scott,1979,11,2.5,No,8.5,https://wheresthejump.com/jump-scares-in-alien-1979/
Alien: Covenant,Ridley Scott,2017,6,2,No,6.7,https://wheresthejump.com/jump-scares-in-alien-covenant-2017/
Alien 3,David Fincher,1992,12,2.5,No,6.4,https://wheresthejump.com/jump-scares-in-alien-iii-1992/
Alien: Resurrection,Jean-Pierre Jeunet,1997,9,3,No,6.3,https://wheresthejump.com/jump-scares-in-alien-resurrection-1997/
Aliens,James Cameron,1986,13,3,No,8.4,https://wheresthejump.com/jump-scares-in-aliens-1986/
Alone,"Banjong Pisanthanakun, Parkpoom Wongpoom",2007,21,4.5,No,6.6,https://wheresthejump.com/jump-scares-in-alone-2007/
Altered States,Ken Russell,1980,2,0.5,No,6.9,https://wheresthejump.com/jump-scares-in-altered-states-1980/
Amityville: The Awakening,Franck Khalfoun,2017,11,3,No,5.2,https://wheresthejump.com/jump-scares-in-amityville-the-awakening-2017/
Amnesiac,Michael Polish,2015,1,0.5,No,4.3,https://wheresthejump.com/jump-scares-in-amnesiac-2015/
An American Werewolf in London,James Landis,1981,14,3,No,7.6,https://wheresthejump.com/jump-scares-in-an-american-werewolf-in-london-1981/
An American Werewolf in Paris,Anthony Waller,1997,11,2.5,No,5.1,https://wheresthejump.com/jump-scares-in-an-american-werewolf-in-paris-1997/
